OFFSPRING_ID,tag,year,sex,length,depth,death_fate,entry_date,death_date,locations,Creek,,FATHER_ID,tag,year,sex,length,depth,death_fate,entry_date,death_date,locations,Creek,,MOTHER_ID,tag,year,sex,length,depth,death_fate,entry_date,death_date,locations,Creek
7715,wpz,2008,f,388,90,sen,52,53,"a,a",A,,3171,ynx,2004,m,400,116,,45,47,"a,a",A,,3173,ynz,2004,f,428,111,bk,45,48,"a,a,a",A
7716,nt1824a,2008,,,,bk,55,55,a,A,,,,,,,,,,,,,,,,,,,,,,,,
7717,wjl,2008,f,418,96,,46,46,a,A,,,,,,,,,,,,,,,,,,,,,,,,
7718,wjk,2008,f,422,99,bk,46,55,"a,a mouth,a,a,a,a",A,,3294,wdx,2004,nosex,415,114,,50,54,"a,a,a,a",A,,,,,,,,,,,,
7719,wjh,2008,f,398,99,bk,46,47,"a,a",A,,3171,ynx,2004,m,400,116,,45,47,"a,a",A,,3173,ynz,2004,f,428,111,bk,45,48,"a,a,a",A
7720,wje,2008,f,398,103,bk,46,48,"a,a,a",A,,,,,,,,,,,,,,,,,,,,,,,,
7721,wjd,2008,f,375,103,,46,53,"a,a mouth,a",A,,,,,,,,,,,,,,,,,,,,,,,,
7722,wjc,2008,f,425,94,bk,46,50,"a,a,a,a,a",A,,3253,wbz,2004,m,462,157,bk,47,48,"a,a",A,,3254,wca,2004,f,447,114,bk,47,48,"a,a",A
7723,wjb,2008,m,395,109,bk,46,47,"a,a",A,,2735,wxk,2004,m,400,103,bk,34,42,"a,a,a,a",A,,2854,bkw,2004,f,387,111,bk,41,42,"a,a",A
7724,wja,2008,m,415,128,,57,58,"a mouth,a mouth,a,a",A,,3262,wck,2004,m,431,124,bk,47,48,"a,a",A,,3272,wcy,2004,f,410,91,bk,47,48,"a,a",A
7725,wms,2008,f,418,104,flop,53,53,"a mouth,a",A,,3263,wcl,2004,m,432,137,bk,47,48,"a,a",A,,3259,wcg,2004,f,409,99,bk,47,48,"a,a",A
7726,wmk,2008,f,401,96,bk,53,53,"a mouth,a,a beach",A,,3219,wag,2004,m,383,104,bk,47,55,"a,a,a,a",A,,,,,,,,,,,,
7727,wmh,2008,f,371,100,bk,55,55,"a mouth,a mouth,a",A,,3396,ywl,2004,m,372,109,,52,54,"a,a,a",A,,3458,ywz,2004,f,430,112,,53,54,"a,a",A
7728,wny,2008,f,403,105,,54,54,"a mouth,a",A,,,,,,,,,,,,,,,,,,,,,,,,
7729,wnv,2008,f,427,100,bk,53,55,"a mouth,a mouth,a,a",A,,3372,yth,2004,m,412,122,,52,54,"a,a,a",A,,3206,ysp,2004,f,433,104,bk,47,55,"a,a,a,a,a",A
7730,wnn,2008,f,408,103,flop,57,58,"a mouth,a,a",A,,3467,yxk,2004,m,409,117,,56,56,a,A,,3369,ytc,2004,f,413,92,bk,52,59,"a,a,a,a,a",A
7731,wnj,2008,f,387,88,bk,53,55,"a mouth,a,a,a",A,,3294,wdx,2004,nosex,415,114,,50,54,"a,a,a,a",A,,3362,yvv,2004,f,400,103,bk,52,55,"a,a,a,a",A
7732,wnh,2008,f,389,93,bk,57,58,"a mouth,a,a",A,,3174,ypa,2004,m,399,108,bk,45,48,"a,a,a",A,,3114,bsa,2004,f,410,111,sen,44,49,"a,a,a,a",A
7733,wne,2008,f,390,94,,53,56,"a mouth,a,a,a",A,,2852,bkt,2004,m,378,109,bk,41,48,"a,a,a,a,a",A,,3125,bsn,2004,f,406,112,bk,44,48,"a,a,a,a",A
7734,wnc,2008,f,403,93,,53,58,"a mouth,a,a,a,a,a",A,,3372,yth,2004,m,412,122,,52,54,"a,a,a",A,,,,,,,,,,,,
7735,wna,2008,f,408,107,bk,50,50,"a mouth,a",A,,2457,bgj,2004,m,383,109,,36,48,"a,a,a,a,a,a,a,a",A,,3116,bsc,2004,f,416,115,bk,44,48,"a,a,a,a",A
7736,woz,2008,f,508,100,,53,57,"a mouth,a,a,a",A,,3372,yth,2004,m,412,122,,52,54,"a,a,a",A,,3206,ysp,2004,f,433,104,bk,47,55,"a,a,a,a,a",A
7737,wtl,2008,m,425,115,,54,54,"a mouth,a",A,,3395,ywh,2004,m,388,110,,52,54,"a,a,a",A,,3465,yxh,2004,f,413,101,,54,54,a,A
7738,wtk,2008,f,423,105,bk,52,60,"a mouth,a,a,a,a,a,a,a,a",A,,3467,yxk,2004,m,409,117,,56,56,a,A,,3369,ytc,2004,f,413,92,bk,52,59,"a,a,a,a,a",A
7739,ntm819a,2008,m,0,0,bk,50,50,a,A,,3235,wbb,2004,m,384,124,,47,54,"a,a,a,a",A,,3236,wbc,2004,f,379,94,,47,58,"a,a,a,a,a,a",A
